"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GATS",5.32147711174017,1.77382570391339,61.1383229966287,3.10329984734074e-08,1.98080378481448e-05,8.77795305841017
"ZNF862",4.97709815519344,1.65903271839781,58.1040685619836,3.97804010636175e-08,1.98080378481448e-05,8.6732779172584
"ZFYVE21",5.10715956040038,1.70238652013346,55.7696093810475,4.85889456555459e-08,1.98080378481448e-05,8.58387136775514
"FAM102A",4.97564235748349,1.6585474524945,53.566703422678,5.91429015019337e-08,1.98080378481448e-05,8.49148380934939
"PIGU",4.61440934524794,1.53813644841598,53.4877621069698,5.95698203807404e-08,1.98080378481448e-05,8.4880169818565
"ARF1",4.55426222838908,1.51808740946303,52.7086444038152,6.39888721186505e-08,1.98080378481448e-05,8.45319054641206
"FGFR1OP2",4.4594316186373,1.48647720621243,52.6417318982059,6.43865041124873e-08,1.98080378481448e-05,8.4501470594245
"BRF1",4.49149678734715,1.49716559578239,51.8908744111235,6.90591121746308e-08,1.98080378481448e-05,8.41540914226107
"SAFB",4.39231742277876,1.46410580759292,51.8494767843068,6.9328410381572e-08,1.98080378481448e-05,8.41346216645896
"PLEKHA1",4.64270110943112,1.54756703647704,51.2696492497443,7.32365430744582e-08,1.98080378481448e-05,8.38583520163319
"NR1D2",4.42587452070803,1.47529150690268,51.0304322444599,7.49259196672901e-08,1.98080378481448e-05,8.37424010639238
"MVD",4.58370907291587,1.52790302430529,50.3511866619194,7.99850926372098e-08,1.98080378481448e-05,8.3406718759862
"EID1",4.35712275883306,1.45237425294435,50.1226541058977,8.17791044552636e-08,1.98080378481448e-05,8.32915913148791
"SELM",4.35712275883306,1.45237425294435,50.1226541058977,8.17791044552636e-08,1.98080378481448e-05,8.32915913148791
"CREBRF",4.35712275883306,1.45237425294435,50.1226541058976,8.1779104455264e-08,1.98080378481448e-05,8.32915913148791
"ARHGAP29",4.52219705967923,1.50739901989308,49.3818845054178,8.79369869577216e-08,1.98080378481448e-05,8.29106215986773
"ADCY3",4.72560555591616,1.57520185197205,49.1910642498504,8.96127451733217e-08,1.98080378481448e-05,8.28105151222304
"LANCL1",4.72560555591616,1.57520185197205,49.1910642498503,8.96127451733225e-08,1.98080378481448e-05,8.28105151222304
"SURF4",4.28492780416547,1.42830926805516,49.1620928898081,8.98705184469578e-08,1.98080378481448e-05,8.2795244645999
"NHLRC2",4.28492780416547,1.42830926805516,49.1620928898081,8.98705184469578e-08,1.98080378481448e-05,8.2795244645999
"CCDC107",4.08746284125034,1.36248761375011,48.2507954901057,9.84543677355192e-08,1.98080378481448e-05,8.23050537396388
"HNRNPF",4.08746284125034,1.36248761375011,48.2507954901057,9.84543677355192e-08,1.98080378481448e-05,8.23050537396388
"SCARB1",4.08746284125034,1.36248761375011,48.2507954901057,9.84543677355192e-08,1.98080378481448e-05,8.23050537396388
"ZNF770",4.08746284125034,1.36248761375011,48.2507954901057,9.84543677355192e-08,1.98080378481448e-05,8.23050537396388
"C17orf62",4.66992500144231,1.55664166714744,48.1838854504925,9.91227063900016e-08,1.98080378481448e-05,8.22682958921287
"EPHA4",4.20892625744295,1.40297541914765,48.142340959784,9.95404284284236e-08,1.98080378481448e-05,8.22454191681068
"RC3H2",4.20892625744295,1.40297541914765,48.142340959784,9.95404284284236e-08,1.98080378481448e-05,8.22454191681068
"EIF4EBP2",4.20892625744295,1.40297541914765,48.142340959784,9.95404284284236e-08,1.98080378481448e-05,8.22454191681068
"RNF169",4.20892625744295,1.40297541914765,48.1423409597839,9.95404284284242e-08,1.98080378481448e-05,8.22454191681068
"C19orf43",4.20892625744295,1.40297541914765,48.1423409597839,9.95404284284242e-08,1.98080378481448e-05,8.22454191681068
"COL19A1",4.85454190627517,1.61818063542506,48.0053207021634,1.00933250509673e-07,1.98080378481448e-05,8.21696749602747
"DYNLRB1",4.85454190627517,1.61818063542506,48.0053207021634,1.00933250509673e-07,1.98080378481448e-05,8.21696749602747
"POLR2F",4.85454190627517,1.61818063542506,48.0053207021634,1.00933250509673e-07,1.98080378481448e-05,8.21696749602747
"NAA38",4.12869392134633,1.37623130711544,47.0558029073094,1.1125800656969e-07,1.98080378481448e-05,8.16321667461802
"PPP1R13B",4.32012246811117,1.44004082270372,46.1129226690602,1.2279551923419e-07,1.98080378481448e-05,8.10757657923419
"SORBS3",4.55164390420601,1.51721463473534,46.0073192359327,1.24175565814895e-07,1.98080378481448e-05,8.1011990610144
"C1orf132",4.55164390420601,1.51721463473534,46.0073192359326,1.24175565814896e-07,1.98080378481448e-05,8.10119906101439
"IFI27L2",4.92587452070803,1.64195817356934,45.9532864008564,1.24888899285365e-07,1.98080378481448e-05,8.0979243645822
"FAM219B",4.04373142062517,1.34791047354172,45.8934016772726,1.25685262789336e-07,1.98080378481448e-05,8.09428580789549
"LSS",4.28350268512351,2.42783422837451,45.5066394835792,1.30978466668063e-07,1.98080378481448e-05,8.07055118515737
"SLC35D1",3.8073549220576,1.26911830735253,44.9442382322069,1.39163013094425e-07,1.98080378481448e-05,8.03529743698819
"LBR",3.8073549220576,1.26911830735253,44.9442382322069,1.39163013094425e-07,1.98080378481448e-05,8.03529743698819
"TEX264",3.8073549220576,1.26911830735253,44.9442382322069,1.39163013094425e-07,1.98080378481448e-05,8.03529743698819
"TRIM24",3.8073549220576,1.26911830735253,44.9442382322069,1.39163013094425e-07,1.98080378481448e-05,8.03529743698819
"ANAPC7",3.8073549220576,1.26911830735253,44.9442382322069,1.39163013094425e-07,1.98080378481448e-05,8.03529743698819
"IFT140",3.8073549220576,1.26911830735253,44.9442382322069,1.39163013094425e-07,1.98080378481448e-05,8.03529743698819
"ESYT2",4.87744375108173,1.62581458369391,44.9210171333081,1.39513989199694e-07,1.98080378481448e-05,8.0338226269552
"FBXW7",4.24592654816484,1.41530884938828,44.8801650716394,1.40134040199787e-07,1.98080378481448e-05,8.03122430443338
"MTFR1L",3.95344529780426,1.31781509926809,44.6441953433267,1.43781241972765e-07,1.98080378481448e-05,8.01612198181072
"AK2",3.95344529780426,1.31781509926809,44.6441953433267,1.43781241972765e-07,1.98080378481448e-05,8.01612198181072
"UBP1",3.95344529780426,1.31781509926809,44.6441953433267,1.43781241972765e-07,1.98080378481448e-05,8.01612198181072
"TUBE1",3.95344529780426,1.31781509926809,44.6441953433267,1.43781241972765e-07,1.98080378481448e-05,8.01612198181072
"INPP5E",3.95344529780426,1.31781509926809,44.6441953433267,1.43781241972765e-07,1.98080378481448e-05,8.01612198181072
"BZRAP1",3.95344529780426,1.31781509926809,44.6441953433267,1.43781241972765e-07,1.98080378481448e-05,8.01612198181072
"DOCK6",3.95344529780426,1.31781509926809,44.6441953433267,1.43781241972765e-07,1.98080378481448e-05,8.01612198181072
"AC007246.3",3.95344529780426,1.31781509926809,44.6441953433266,1.43781241972765e-07,1.98080378481448e-05,8.01612198181072
