"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KIAA1033",4.08746284125034,2.04373142062517,170.220750064219,4.57681167658087e-06,0.00138753541260439,5.11156475385144
"MEF2C-AS1",3.8073549220576,1.9036774610288,158.555768153502,5.44909803917787e-06,0.00138753541260439,5.04480456920503
"P2RX7",3.58496250072116,1.79248125036058,149.294324994569,6.31766135935232e-06,0.00138753541260439,4.98264778303717
"TBC1D12",3.4594316186373,1.72971580931865,144.066641775313,6.89596887963032e-06,0.00138753541260439,4.94332199445086
"NKAIN2",3.32192809488736,1.66096404744368,138.340362697501,7.61867533522285e-06,0.00138753541260439,4.89622050030861
"PPIA",3.32192809488736,1.66096404744368,138.340362697501,7.61867533522285e-06,0.00138753541260439,4.89622050030861
"ATP5L",3.32192809488736,1.66096404744368,138.340362697501,7.61867533522285e-06,0.00138753541260439,4.89622050030861
"ANAPC1",3.16992500144231,1.58496250072116,132.01025485721,8.5479813875049e-06,0.00138753541260439,4.83862749229254
"DNAJC13",3.16992500144231,1.58496250072116,132.01025485721,8.5479813875049e-06,0.00138753541260439,4.83862749229254
"NCK1",3.16992500144231,1.58496250072116,132.01025485721,8.5479813875049e-06,0.00138753541260439,4.83862749229254
"IBTK",3.16992500144231,1.58496250072116,132.01025485721,8.5479813875049e-06,0.00138753541260439,4.83862749229254
"ATG4C",3,1.5,124.933796348947,9.78723509333634e-06,0.00138753541260439,4.76636894639411
"DHX9",3,1.5,124.933796348947,9.78723509333634e-06,0.00138753541260439,4.76636894639411
"PPM1K",3,1.5,124.933796348947,9.78723509333634e-06,0.00138753541260439,4.76636894639411
"ALG13",3,1.5,124.933796348947,9.78723509333634e-06,0.00138753541260439,4.76636894639411
"CNOT7",3,1.5,124.933796348947,9.78723509333634e-06,0.00138753541260439,4.76636894639411
"ZNF251",3,1.5,124.933796348947,9.78723509333634e-06,0.00138753541260439,4.76636894639411
"CENPP",3,1.5,124.933796348947,9.78723509333634e-06,0.00138753541260439,4.76636894639411
"PCBP2",3,1.5,124.933796348947,9.78723509333634e-06,0.00138753541260439,4.76636894639411
"CLCN7",3,1.5,124.933796348947,9.78723509333634e-06,0.00138753541260439,4.76636894639411
"ELAVL1",3,1.5,124.933796348947,9.78723509333634e-06,0.00138753541260439,4.76636894639411
"MEMO1",2.8073549220576,1.4036774610288,116.91116937052,1.15209053173716e-05,0.00138753541260439,4.67267567596541
"KLF3",2.8073549220576,1.4036774610288,116.91116937052,1.15209053173716e-05,0.00138753541260439,4.67267567596541
"ANXA5",2.8073549220576,1.4036774610288,116.91116937052,1.15209053173716e-05,0.00138753541260439,4.67267567596541
"LARP1",2.8073549220576,1.4036774610288,116.91116937052,1.15209053173716e-05,0.00138753541260439,4.67267567596541
"SETD3",2.8073549220576,1.4036774610288,116.91116937052,1.15209053173716e-05,0.00138753541260439,4.67267567596541
"LMAN1",2.8073549220576,1.4036774610288,116.91116937052,1.15209053173716e-05,0.00138753541260439,4.67267567596541
"TECR",2.8073549220576,1.4036774610288,116.91116937052,1.15209053173716e-05,0.00138753541260439,4.67267567596541
"UBE2G2",2.8073549220576,1.4036774610288,116.91116937052,1.15209053173716e-05,0.00138753541260439,4.67267567596541
"SEC31A",2.70043971814109,2.35021985907055,112.458728599616,1.2674230885356e-05,0.00138753541260439,4.61442591124135
"MAPKAPK2",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"GNPAT",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"PDIA6",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"STRN",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"RBMS3",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"PDCD6IP",2.58496250072116,2.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"ACAA1",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"GRSF1",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"HPGDS",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"SKP1",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"RPL7L1",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"B3GAT2",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"COPS6",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"VPS28",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"AP1G2",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"ATG2B",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"TSPAN3",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"RP11-219A15.1",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"MSL1",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"TMC6",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"RAB40B",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"ZNF133",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"ARHGAP35",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"ITSN1",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"MCM3AP",2.58496250072116,1.29248125036058,107.649726211587,1.41110353975412e-05,0.00138753541260439,4.54578593927128
"GPM6B",4.28492780416547,2.14246390208274,104.208585083544,1.52836616699329e-05,0.00138753541260439,4.49263483436357
"FCGR2A",4.20892625744295,2.10446312872147,98.8077336643887,1.74187439930197e-05,0.00138753541260439,4.40163416532767
"AGBL4",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"PSMD4",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"RRNAD1",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"PFDN2",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"DUSP12",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"TOMM20",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"ZNF512",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"PTCD3",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"RFTN2",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"ANKZF1",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"IP6K1",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"PCNP",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"STXBP5L",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"ADGRL3",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"MRPL1",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"IRF2",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"PAPD7",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"UBE2J1",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"KPNA5",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"TMEM248",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"KDM5C",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"OPHN1",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"ZNF706",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"AZIN1",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"COQ4",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"MOB2",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"EIF3F",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"CD59",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"TMEM258",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"FDX1",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"ARCN1",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"PARP11",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"AMN1",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"PRKAG1",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"BAZ2A",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"NUP107",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"TMED2",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"LUC7L",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"NCBP3",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"LASP1",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"CCDC57",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"MALT1",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"PYGB",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"ARFGAP1",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"SEMA6B",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"PKN1",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"NDUFB7",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"EIF3L",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"XRCC6",2.32192809488736,1.16096404744368,96.6957639145187,1.83684493100064e-05,0.00138753541260439,4.3632930507906
"RPL29",4.04373142062517,2.02186571031258,87.5562593840801,2.34432676203233e-05,0.00138753541260439,4.17678790934097
"AP006222.2",2,1,83.2891975659646,2.65050782574213e-05,0.00138753541260439,4.07659783926528
"C1orf122",2,1,83.2891975659646,2.65050782574213e-05,0.00138753541260439,4.07659783926528
"IPO13",2,1,83.2891975659646,2.65050782574213e-05,0.00138753541260439,4.07659783926528
"JUN",2,1,83.2891975659646,2.65050782574213e-05,0.00138753541260439,4.07659783926528
"ACADM",2,1,83.2891975659646,2.65050782574213e-05,0.00138753541260439,4.07659783926528
"MOV10",2,1,83.2891975659646,2.65050782574213e-05,0.00138753541260439,4.07659783926528
"NBPF15",2,1,83.2891975659646,2.65050782574213e-05,0.00138753541260439,4.07659783926528
"NBPF14",2,1,83.2891975659646,2.65050782574213e-05,0.00138753541260439,4.07659783926528
"ZBTB41",2,1,83.2891975659646,2.65050782574213e-05,0.00138753541260439,4.07659783926528
"LDAH",2,1,83.2891975659646,2.65050782574213e-05,0.00138753541260439,4.07659783926528
"PPM1G",2,1,83.2891975659646,2.65050782574213e-05,0.00138753541260439,4.07659783926528
"ATL2",2,1,83.2891975659646,2.65050782574213e-05,0.00138753541260439,4.07659783926528
"GALM",2,1,83.2891975659646,2.65050782574213e-05,0.00138753541260439,4.07659783926528
"DYNC2LI1",2,1,83.2891975659646,2.65050782574213e-05,0.00138753541260439,4.07659783926528
"AC072062.1",2,1,83.2891975659646,2.65050782574213e-05,0.00138753541260439,4.07659783926528
"HRH1",2,1,83.2891975659646,2.65050782574213e-05,0.00138753541260439,4.07659783926528
"NUP210",2,1,83.2891975659646,2.65050782574213e-05,0.00138753541260439,4.07659783926528
"SNX4",2,1,83.2891975659646,2.65050782574213e-05,0.00138753541260439,4.07659783926528
