"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SNCA",6.70199256504715,4.52119553902829,6.22911793308058,4.74799603091144e-10,5.15157569353891e-06,12.0675452450005
"DHX9",6.38342214296673,4.33005328578004,5.93302498611442,3.00405797857969e-09,7.15863057904034e-06,10.4003347211314
"PIDD1",6.34688152255512,4.30812891353307,5.89906257393883,3.69181013130005e-09,7.15863057904034e-06,10.2142922149709
"MT-CO2",6.3384740269095,7.34149221467111,5.89124828865126,3.87052887016011e-09,7.15863057904034e-06,10.171637524342
"RASSF2",6.28337819677484,4.56250816842548,5.84003987261695,5.26836007839252e-09,7.15863057904034e-06,9.89351297588869
"ECE1",6.25451629539323,4.25270977723594,5.81321438963796,6.18557144670666e-09,7.15863057904034e-06,9.7487868121668
"CH507-513H4.1",6.23604696112858,3.74162817667715,5.79604820209547,6.85213325384051e-09,7.15863057904034e-06,9.65652313368982
"DAZAP2",6.23132564005338,4.73879538403203,5.79166000478073,7.03343671723794e-09,7.15863057904034e-06,9.63298153370885
"ATF4",6.20429418043618,4.51505775862229,5.7665358125014,8.16483589513505e-09,7.15863057904034e-06,9.4985396978266
"POMGNT1",6.19607716982756,3.71764630189654,5.75889857213719,8.54252871095398e-09,7.15863057904034e-06,9.45778796880619
"SLK",6.18711960236863,3.71227176142118,5.75057302662909,8.9736136653084e-09,7.15863057904034e-06,9.41342502443463
"PLXNB1",6.16215759727199,5.89345326975257,5.72737227370614,1.02895227363734e-08,7.15863057904034e-06,9.29013767726495
"C16orf52",6.15510376962573,3.69306226177544,5.72081614523215,1.06941771820178e-08,7.15863057904034e-06,9.25538914205981
"SAFB2",6.14650153588091,4.18790092152854,5.7128208620437,1.12086240438782e-08,7.15863057904034e-06,9.21306671852616
"MAP1A",6.13803728452337,4.4753036210746,5.70495382557512,1.17382571826885e-08,7.15863057904034e-06,9.17148093294551
"HUWE1",6.13727109139252,4.18236265483551,5.70424169297795,1.17873831217393e-08,7.15863057904034e-06,9.16771937144972
"PIM3",6.12756597036936,4.46902083258219,5.69522133928144,1.24272045019912e-08,7.15863057904034e-06,9.1201135307015
"PKM",6.1273605917935,4.1764163550761,5.69503045166741,1.24411024809085e-08,7.15863057904034e-06,9.11910691580704
"ECHS1",6.11140114658116,3.6668406879487,5.68019706213299,1.35685308172943e-08,7.15863057904034e-06,9.04098861801989
"CSMD1",6.11041158648554,4.9587282022519,5.67927732274539,1.36416132471595e-08,7.15863057904034e-06,9.03615162678985
"MORF4L1",6.10534335323825,5.24816851266411,5.67456669045159,1.40219560619766e-08,7.15863057904034e-06,9.01139027180629
"EYA3",6.09371859431001,3.65623115658601,5.66376214335536,1.49336526975186e-08,7.15863057904034e-06,8.95467397153792
"PGRMC1",6.08988772918292,4.65393263750975,5.66020157380373,1.52465203960057e-08,7.15863057904034e-06,8.93600715664875
"ARHGAP22",6.07863985350817,4.1471839121049,5.64974731808878,1.62023761396269e-08,7.15863057904034e-06,8.8812669995727
"WASH1",6.07026980972594,5.22712438655672,5.6419678421615,1.69511888768218e-08,7.15863057904034e-06,8.84059808949402
"PNRC1",6.06199811173094,4.13719886703856,5.63427977300631,1.77241742916947e-08,7.15863057904034e-06,8.8004620825496
"LSM7",6.04648714032184,3.6278922841931,5.61986321416561,1.92669706477144e-08,7.15863057904034e-06,8.72534714413181
"PCNXL2",6.04116500205991,3.62469900123594,5.61491659171446,1.98257901150962e-08,7.15863057904034e-06,8.69961798415985
"SCAF4",6.03896744295643,3.62338046577386,5.61287408649118,2.00610941842125e-08,7.15863057904034e-06,8.68900078995863
"GFAP",6.03836487692732,6.07646422396065,5.61231403590602,2.01260863001987e-08,7.15863057904034e-06,8.68609025271222
"PAPOLA",6.02759400132416,5.20151890151565,5.60230312441613,2.13229021244037e-08,7.15863057904034e-06,8.63411335531827
"DOHH",6.02590795055476,4.11554477033286,5.60073603686988,2.15163973625981e-08,7.15863057904034e-06,8.62598539843133
"CC2D1A",6.01886528702664,4.11131917221599,5.59419028480377,2.23432231752231e-08,7.15863057904034e-06,8.59205936629692
"PKD1",6.01604875140652,4.60962925084391,5.59157247638782,2.26824543534069e-08,7.15863057904034e-06,8.5785026114776
"RP11-809C18.3",6.01085411966704,3.60651247180022,5.58674436394064,2.33212703290674e-08,7.15863057904034e-06,8.55351607447539
"S100A6",6.00742787580803,4.7654207729285,5.58355986666493,2.37521383267698e-08,7.15863057904034e-06,8.53704741835385
